,id,name,overall_rating,review_count,address,city,state,zip
131,L3YM8cAda9L_t_j-2C4ufA,Sage Vegan Bistro - Echo Park,4.0,2020,1700 Sunset Blvd,Los Angeles,CA,90026
132,fD4ntpbf92ufSHn5tSmSxA,DeSano Pizza Bakery,4.5,1034,4959 Santa Monica Blvd,Los Angeles,CA,90029
133,lve4JGg7Kk5k4s9h7aMaUw,Blue Palms Brewhouse,4.0,835,6124 Hollywood Blvd,Los Angeles,CA,90028
134,PQGsaaJ9YVL_Sgiy7aB70Q,Street Food Of Seoul,4.0,202,3500 W 6th St,Los Angeles,CA,90020
135,OUvSg5Z9VI7APmaAdqyWVQ,The Black Sheep,4.5,1025,126 E 6th St,Los Angeles,CA,90013
136,Dv6-iy7-tN8ETAjqW6eg4g,Next Door Lounge,4.0,1012,1154 N Highland Ave,Los Angeles,CA,90038
137,eUkd8atkJe4fkKGcD5QZ1A,HATCH Yakitori + Bar,4.5,270,700 W 7th St,Los Angeles,CA,90017
138,1ZEUvoDlg7ixlwwlK2a3mQ,HaSunSaeng - MasterHA,4.5,273,1147 S Western Ave,Los Angeles,CA,90006
139,KOuqS-inE44o9-1Jix9Tag,Shojin Downtown,4.0,1679,333 S Alameda St,Los Angeles,CA,90013
140,INEbr7OmgiqlMWq5Cta8WA,Ahgassi Gopchang,4.5,1170,3744 W 6th St,Los Angeles,CA,90005
141,Lop79P2KM9zFUCCaBYz6zA,Tlayuda La Restaurant,4.5,657,5450 Santa Monica Blvd,Los Angeles,CA,90029
142,0vRsHjV66oUDcszA8EWq0w,Kali Restaurant,4.5,433,5722 Melrose Ave,Los Angeles,CA,90038
143,VqG_rccDoUXreiaHH0DEUA,Guisados DTLA,4.5,1594,541 S Spring St,Los Angeles,CA,90013
144,PYCWGTASwon7ExTSzK9a5w,Le Petit Marché,4.5,115,5665 Melrose Ave,Los Angeles,CA,90038
145,NrzSO_pQ88A3jSMqh_QuNg,Magal BBQ,4.5,1461,3460 W 8th St,Los Angeles,CA,90005
146,qDmJaJjLtjcB4Evd-VCbNA,Simpang Asia,4.0,1397,10433 National Blvd,Los Angeles,CA,90034
147,4LFbJ8P4jCh70ZNKRig0qw,EMC Seafood & Raw Bar,4.0,3071,3500 W 6th St,Los Angeles,CA,90020
148,sYn3SNQP-j2t2XSwjlCbRg,Monty's Good Burger,4.5,1099,516 S Western Ave,Los Angeles,CA,90020
149,CKvSkiZU3SQ_TYacHhnkFQ,Ssam Korean BBQ,4.5,1043,1040 S Western Ave,Los Angeles,CA,90006
150,-3S1PdyDbSQcqkIaX8VKrQ,Wirtshaus German Restaurant & Beer Garden,4.0,794,345 N La Brea Ave,Los Angeles,CA,90036
151,ayObtPXjSe0gALk8HVAxKg,Bowery Bungalow,4.5,411,4156 Santa Monica Blvd,Los Angeles,CA,90029
152,c6-7m0hafQmFyBgWU2XtIg,Marugame Udon,4.0,1102,2029 Sawtelle Blvd,Los Angeles,CA,90025
153,-dXUxVZA3SL0W482Ccjkfg,Catch 56,4.5,421,5615 Hollywood Blvd,Los Angeles,CA,90028
154,1YLtpWtdOPZ2FeGpyBrzxA,Cafe Parisien,4.0,46,244 N Larchmont Blvd,Los Angeles,CA,90004
155,Kz8ZETLCLPNzzs9Tb4u1SQ,Colori Kitchen,4.0,1540,429 W 8th St,Los Angeles,CA,90014
156,Z57u3vyjkRiO5yIOkmGRNA,Carousel Restaurant,4.5,596,5112 Hollywood Blvd,Los Angeles,CA,90027
157,-CW_jNF0-x1RAhlGjX3JUg,Andre's Italian Restaurant,4.0,1121,6332 W 3rd St,Los Angeles,CA,90036
158,0qP_mke-sPJELjdhYyBt4g,Small Town,5.0,8,2764 Rowena Ave,Los Angeles,CA,90039
159,adrzBN4C3jpoCAzJX-xscw,Pa Ord Noodle,4.0,1340,5301 W Sunset Blvd,Los Angeles,CA,90027
160,LLj451UZrvt3SkZVrEZ4ew,Myung Dong Kyoja,4.0,1149,3630 Wilshire Blvd,Los Angeles,CA,90010
161,us0WnDOySVXXXwCqs0AaCw,いざかや おせん- IZAKAYA OSEN,4.5,498,2903 Sunset Blvd,Los Angeles,CA,90029
162,PlQjtbZKOw7exAUfrswhNQ,The Kimbap,4.5,398,400 S Western Ave,Los Angeles,CA,90020
163,rJDsg0rZfuT0tsXbDaxRgA,Son of a Gun,4.0,1606,8370 W 3rd St,Los Angeles,CA,90048
164,KAG0aFy962JY38UeWI8pWQ,H&H Brazilian Steakhouse,4.5,30,518 W 7th St,Los Angeles,CA,90014
165,zpCjv61s-5b-WJSd8opFvA,Candela,4.0,608,831 S La Brea Ave,Los Angeles,CA,90036
166,EHRDheGgmdQYfwEL7X04Pw,Plato,4.0,398,3474 W 8th St,Los Angeles,CA,90005
167,tW4eYiMzeWtcJS7kLHL54g,Pampas Grill,4.0,1157,6333 W 3rd St,Los Angeles,CA,90036
168,eHwdLWQrg4nr_3fuiH_jhQ,Honey Night,4.5,27,3526 W 8th St,Los Angeles,CA,90005
