Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
CHEECH'S PIZZA,2116 HILLHURST AVE,LOS ANGELES,CA,90027,92,A
YI MAT CAFE,3064 W 8TH ST,LOS ANGELES,CA,90005,90,A
STAPLES CENTER (LEVY),1111 S FIGUEROA ST,LOS ANGELES,CA,90015,98,A
WHOLE FOODS MARKET,6350 W 3RD ST,LOS ANGELES,CA,90036,99,A
CHARLES COFFEE SHOP,6333 W 3RD ST STE #412,LOS ANGELES,CA,90036,92,A
LARDER AT TAVERN,380 WORLD WAY T34,LOS ANGELES,CA,90045,82,B
LENTO MARKET LLC,1288 W SUNSET BLVD,LOS ANGELES,CA,90026,98,A
GUADALUPANA MEAT,4005 CITY TERRACE DR,LOS ANGELES,CA,90063,91,A
BLOOM CAFE,5544 W PICO BLVD,LOS ANGELES,CA,90019,92,A
SHINTARO,1900 N HIGHLAND AVE STE #5,LOS ANGELES,CA,90068,92,A
SOLAR DE CAHUENGA,1847 N CAHUENGA BLVD,LOS ANGELES,CA,90028,91,A
STARBUCKS-17413,3584 S FIGUEROA ST # #3,LOS ANGELES,CA,90007,98,A
SANTA MONICA CHEVRON,11261 SANTA MONICA BLVD,LOS ANGELES,CA,90025,95,A
TALAY THAI RESTAURANT,11314 SANTA MONICA BLVD,LOS ANGELES,CA,90025,91,A
KENTUCKY FRIED CHICKEN T32,380 WORLD WAY,LOS ANGELES,CA,90045,93,A
K-ROLL,3500 W 6TH ST # 228,LOS ANGELES,CA,90020,83,B
VENICE BAKERY,10943 VENICE BLVD,LOS ANGELES,CA,90034,90,A
SUN HAI INN CHINESE,3176 LOS FELIZ BLVD,LOS ANGELES,CA,90039,91,A
CLIMEX PIZZA,1075 N WESTERN AVE # 105,LOS ANGELES,CA,90029,94,A
MOISHES AUXILLARY KITCHEN,6333 W 3RD ST BLDG 11,LOS ANGELES,CA,90036,94,A
RALPHS MARKET #156,10309 W OLYMPIC BLVD,LOS ANGELES,CA,90064,90,A
SHAKEY'S PIZZA PARLOR #17,5170 W SUNSET BLVD,LOS ANGELES,CA,90027,98,A
WHOLE FOODS MARKET,6350 W 3RD ST,LOS ANGELES,CA,90036,99,A
GENKI GRILL,6355 WILSHIRE BLVD,LOS ANGELES,CA,90048,91,A
STAPLES CENTER (LEVY),1111 S FIGUEROA ST,LOS ANGELES,CA,90015,94,A
ISLAND PACIFIC SEAFOOD MKT,229 S VERMONT AVE,LOS ANGELES,CA,90004,90,A
PIZZA BELLA,1900 N HIGHLAND AVE,LOS ANGELES,CA,90068,91,A
RINCON CHILENO,4352 MELROSE AVE,LOS ANGELES,CA,90029,82,B
800 DEGREES PIZZERIA,380 WORLD WAY T31,LOS ANGELES,CA,90045,91,A
NICKS COFFEE SHOP EST 1946,8536 W PICO BLVD,LOS ANGELES,CA,90035,90,A
MALIBU FISH GRILL,8000 W SUNSET BLVD # A120,LOS ANGELES,CA,90046,96,A
PIZZA MOON,2619 S WESTERN AVE,LOS ANGELES,CA,90018,96,A
RALPHS MARKET #156,10309 W OLYMPIC BLVD,LOS ANGELES,CA,90064,96,A
ZAPOTEC ORGANIC COFFEE,2310 WHITTIER BLVD,LOS ANGELES,CA,90023,97,A
THE VEGGIE GRILL,8000 W SUNSET BLVD # 112,LOS ANGELES,CA,90046,94,A
RECITAL,3500 W 6TH ST W # 330,LOS ANGELES,CA,90020,95,A
KOWLOON DIM SUM,223 S VERMONT AVE,LOS ANGELES,CA,90004,96,A
UMAMI BURGER,380 WORLD WAY T30,LOS ANGELES,CA,90045,94,A
FARSI CAFE,1916 WESTWOOD BLVD,LOS ANGELES,CA,90025,93,A
BELVEDERE PARK - CONCESSION STAND,4914 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90022,98,A
WING N STUFF,3650 W MLK BLVD,LOS ANGELES,CA,90008,97,A
SALAD FARM,11047 SANTA MONICA BLVD,LOS ANGELES,CA,90025,97,A
STAPLES CENTER (LEVY),1111 S FIGUEROA ST,LOS ANGELES,CA,90015,96,A
PANDA EXPRESS,380 WORLD WAY,LOS ANGELES,CA,90045,95,A
NAVA'S MINI MARKET & FLOWER SHOP AND PARTY SUPPLIES,9420 FIGUEROA ST,LOS ANGELES,CA,90003,95,A
POST &  BEAM,3767 SANTA ROSALIA DR,LOS ANGELES,CA,90008,94,A
GUESS CAFE,1901 E 15TH ST,LOS ANGELES,CA,90021,99,A
BLOOM TO GO,5542 W PICO BLVD,LOS ANGELES,CA,90019,95,A
WINGSTOP,1075 N WESTERN AVE # 107,LOS ANGELES,CA,90029,98,A
VROMAGE,7988 W sunset BLVD,LOS ANGELES,CA,90046,99,A
WHOLE FOODS MARKET,6350 W 3RD ST,LOS ANGELES,CA,90036,100,A
PIZZA ROSSA,4040 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90008,96,A
PLAZA MARKET,4121 CITY TERRACE DR,LOS ANGELES,CA,90063,92,A
IMPERIAL LIQUOR,1602 W PICO BLVD,LOS ANGELES,CA,90015,95,A
THE CALIFORNIA ENDOWMENT,1000 N ALAMEDA ST,LOS ANGELES,CA,90012,95,A
PATINA CATERING - CAFE,1150 S OLIVE ST,LOS ANGELES,CA,90015,95,A
"MANGEN,HOWARD",2532 S FIGUEROA ST,LOS ANGELES,CA,90007,97,A
ROCCO'S ITALIAN KITCHEN,6335 WILSHIRE BLVD,LOS ANGELES,CA,90048,92,A
LEGEND NOODLE & GRILL,209 S VERMONT AVE,LOS ANGELES,CA,90004,93,A
CALIFORNIA PITA GRILL,12001 WILSHIRE BLVD,LOS ANGELES,CA,90025,92,A
DOLLAR TREE #5137,9137 S WESTERN AVE,LOS ANGELES,CA,90047,95,A
MCDONALD'S #5674,1007 N WESTERN AVE,LOS ANGELES,CA,90029,96,A
FATBURGER,12005 WILSHIRE BLVD,LOS ANGELES,CA,90025,94,A
NEUTROGENA CAFE,5755 W 96TH ST,LOS ANGELES,CA,90045,97,A
BLISS,3465 W 6TH ST # 200,LOS ANGELES,CA,90020,92,A
EL POLO LOCO #5410,3959 WILSHIRE BLVD STE A-1,LOS ANGELES,CA,90010,94,A
CROCKER CAFE,921 CROCKER ST # C-21,LOS ANGELES,CA,90021,96,A
55TH STREET MARKET,5428 S HOOPER AVE,LOS ANGELES,CA,90011,97,A
WHOLE FOODS MARKET,6350 W 3RD ST,LOS ANGELES,CA,90036,99,A
YUCA'S,2056 N HILLHURST AVE,LOS ANGELES,CA,90027,94,A
CBS TVC CAFE,7800 BEVERLY BLVD,LOS ANGELES,CA,90036,94,A
MCDONALD'S #3797,6335 W WILSHIRE BLVD,LOS ANGELES,CA,90048,92,A
GAAM,3465 W 6TH ST STE 300,LOS ANGELES,CA,90020,90,A
BIG MAN BAKES,1111 S FIGUEROA ST,LOS ANGELES,CA,90015,100,A
GRANDES MINI MARKET,4350 MELROSE AVE,LOS ANGELES,CA,90029,95,A
JITLADA RESTAURANT,5233 1/2 W SUNSET BLVD,LOS ANGELES,CA,90027,96,A
WHOLE FOODS MARKET,6350 W 3RD ST,LOS ANGELES,CA,90036,97,A
"RINCON,CHILENO DELI",4356 MELROSE AVE,LOS ANGELES,CA,90029,96,A
THE GREAT AMERICAN GRILL & B,2005 N HIGHLAND AVE,LOS ANGELES,CA,90068,94,A
THE APPLE PAN,10801 W PICO BLVD,LOS ANGELES,CA,90064,97,A
CURRY HOUSE,123 ASTRONAUT ELLISON ONIZUKA ST #204,LOS ANGELES,CA,90012,91,A
NORMANDIE COUNTRY BAKERY,3022 S COCHRAN AVE,LOS ANGELES,CA,90016,95,A
NAMSAN,3613 W 6TH ST # B,LOS ANGELES,CA,90020,90,A
BURGER KING #2547,1011 N WESTERN AVE,LOS ANGELES,CA,90029,91,A
SPICE ON HOLLYWOOD,2011 N HIGHLAND AVE,LOS ANGELES,CA,90068,92,A
CHURCH'S FRIED CHICEKN #147,1811 W JEFFERSON BLVD,LOS ANGELES,CA,90018,93,A
OROCHON RAMEN,123 ASTRONAUT ELLISON ONIZUKA ST #303,LOS ANGELES,CA,90012,94,A
HIGHLAND THEATRE,5604 N FIGUEROA ST,LOS ANGELES,CA,90042,96,A
BAK KUNG KOREAN BBQ 2,233 S VERMONT AVE,LOS ANGELES,CA,90004,92,A
ORDONEZ MINI MARKET,1717 W VERNON AVE,LOS ANGELES,CA,90062,93,A
CACTUS MEXICAN FOOD,950 N VINE ST,LOS ANGELES,CA,90038,95,A
BIG CATCH BRENWOOD,12009 WILSHIRE BLVD,LOS ANGELES,CA,90025,94,A
GIAMELA'S,3178 LOS FELIZ BLVD,LOS ANGELES,CA,90039,93,A
WABA GRILL,5527 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,98,A
CALIFORNIA ROLL & SUSHI FISH,2081 N HILLHURST AVE # A,LOS ANGELES,CA,90027,94,A
YOGURTLAND BOYLE HEIGHTS,3476 WHITTIER BLVD # 108,LOS ANGELES,CA,90023,95,A
SAKE HOUSE,3465 W 6TH ST #150,LOS ANGELES,CA,90020,90,A
BRONSON PETROLEUM,5857 W SUNSET BLVD,LOS ANGELES,CA,90028,94,A
LA BREA BAKERY,100 WORLD WAY,LOS ANGELES,CA,90045,90,A
FOOD 4 LESS #359,1748 W JEFFERSON BLVD,LOS ANGELES,CA,90018,99,A
VILLAGE INN RESTAURANT,3710 W MLK BLVD STE #121,LOS ANGELES,CA,90008,95,A
ANTOJITOS MEXICANO PAISA,106 N AVENUE 58,LOS ANGELES,CA,90042,96,A
DOUGHNUT HOUSE CO.,3500 OVERLAND AVE STE 150,LOS ANGELES,CA,90034,97,A
TONY'S MARKET,104 E AVENUE 40,LOS ANGELES,CA,90031,97,A
EL SUPER,310 E FLORENCE AVE,LOS ANGELES,CA,90003,98,A
FOOD 4 LESS #363,2750 E 1ST ST,LOS ANGELES,CA,90033,96,A
ARBY'S ROAST BEEF,5920 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
YOSHINOYA BEEF BOWL,2850 CRENSHAW BLVD # #C,LOS ANGELES,CA,90016,97,A
SD COFFEE,1606 W 6TH ST,LOS ANGELES,CA,90017,95,A
DUMPLING HOUSE,3525 W 3RD ST #6,LOS ANGELES,CA,90020,96,A
EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,98,A
SUGAR DONUTS,809 W VERNON AVE,LOS ANGELES,CA,90037,92,A
LALIBELA ETHIOPIAN RESTAURANT,1025 S FAIRFAX AVE,LOS ANGELES,CA,90019,95,A
SUBWAY SANDWICHES #28617,3323 WILSHIRE BLVD,LOS ANGELES,CA,90010,98,A
BANGLA APNA BAZZAR,261 S KENMORE ST,LOS ANGELES,CA,90004,91,A
SANZAB,7363 W SUNSET BLVD,LOS ANGELES,CA,90046,95,A
CHAUMONT,143 S BEVERLY DR,LOS ANGELES,CA,90012,95,A
STARBUCKS COFFEE #5567,1898 WESTWOOD BLVD,LOS ANGELES,CA,90025,96,A
LE ORIENTAL BISTRO,1710 N HIGHLAND AVE,LOS ANGELES,CA,90028,92,A
ALL SEAS FISH MARKET,4320 S VERMONT AVE,LOS ANGELES,CA,90037,95,A
TACOMOLE,110 E 9TH ST B32,LOS ANGELES,CA,90015,96,A
ALBERTSON'S #4131,3901 S CRENSHAW BLVD,LOS ANGELES,CA,90008,98,A
TROPICANA JUICE BAR & DELI,5202 MONTE VISTA ST,LOS ANGELES,CA,90042,95,A
KING EXPRESS,4333 S VERMONT AVE,LOS ANGELES,CA,90037,80,B
SAWTELLE TEMPURA HOUSE,1816 SAWTELLE BLVD,LOS ANGELES,CA,90025,82,B
YO BOBA,3525 W 3RD ST # 2,LOS ANGELES,CA,90020,94,A
NEKTAR KIOSK,100 WORLD WAY # TMP63,LOS ANGELES,CA,90045,98,A
QUIZNO'S,7117 W SUNSET BLVD,LOS ANGELES,CA,90046,91,A
U PAY LESS,1995 E FLORENCE AVE,LOS ANGELES,CA,90001,98,A
VIRGIL FARM MARKET,868 N VIRGIL AVE,LOS ANGELES,CA,90029,90,A
EL SUPER,310 E FLORENCE AVE,LOS ANGELES,CA,90003,96,A
TAJ MAHAL OF INDIA,8566 W PICO BLVD,LOS ANGELES,CA,90035,91,A
MAGEEHS DONUTS,1402 W 6TH ST,LOS ANGELES,CA,90017,94,A
INJERA COM MARKET,1046 S FAIRFAX AVE,LOS ANGELES,CA,90019,99,A
DELICE BAKERY,8583 W PICO BLVD,LOS ANGELES,CA,90035,92,A
ALBERTSON'S #4131,3901 S CRENSHAW BLVD,LOS ANGELES,CA,90008,93,A
NEW HOP LI SEAFOOD RESTAURANT,526 ALPINE ST,LOS ANGELES,CA,90012,90,A
LITTLE ETHIOPIA RESTAURANT,1048 S FAIRFAX AVE,LOS ANGELES,CA,90019,96,A
LOS REYES NATURAL FRUIT DRINK,2707 1/2 N BROADWAY,LOS ANGELES,CA,90031,96,A
PHILLY WEST BAR AND GRILL,1870 WESTWOOD BLVD,LOS ANGELES,CA,90025,94,A
ZEN MEI BISTRO,800 YALE ST,LOS ANGELES,CA,90012,83,B
MESSOB ETHIOPIAN RESTAURANT,1039 S FAIRFAX AVE,LOS ANGELES,CA,90019,92,A
ORIGIN CAFE,8532 PICO BLVD,LOS ANGELES,CA,90035,91,A
WAH'S GOLDEN HEN,709 N VIRGIL AVE,LOS ANGELES,CA,90029,95,A
THE TWIN DRAGON,8597 W PICO BLVD,LOS ANGELES,CA,90035,90,A
LOS POBLANOS RESTAURANTE,1433 W JEFFERSON BLVD,LOS ANGELES,CA,90018,98,A
MICHELLE'S COUNTRY DINER,4070 MARLTON AVE,LOS ANGELES,CA,90008,95,A
FAT SAL'S,1300 N HIGHLAND AVE,LOS ANGELES,CA,90028,92,A
ARCO MINI MART,7600 S WESTERN AVE,LOS ANGELES,CA,90047,93,A
MC DONALD'S,2838 CRENSHAW BLVD,LOS ANGELES,CA,90016,96,A
NEW BATTAMBANG,648 NEW HIGH ST,LOS ANGELES,CA,90012,90,A
TRIMANA OF CALIFORNIAMART,110 E 9TH ST BL034,LOS ANGELES,CA,90079,95,A
TAM'S BURGER #7,5023 S CENTRAL AVE,LOS ANGELES,CA,90011,95,A
JONS MARKET#1,3667 W 3RD ST,LOS ANGELES,CA,90020,95,A
EL SUPER,310 E FLORENCE AVE,LOS ANGELES,CA,90003,98,A
BLACK BEARDS CRAFTS,1820 SAWTELLE BLVD,LOS ANGELES,CA,90025,96,A
HEARTY DELI,1618 CORINTH AVE,LOS ANGELES,CA,90025,83,B
KAZOKU SUSHI,5259 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,94,A
WAX PAPER,2902 KNOX AVE,LOS ANGELES,CA,90039,98,A
FOOD 4 LESS #363,2750 E 1ST ST,LOS ANGELES,CA,90033,98,A
FLYING FOOD GROUP PACIFIC INC,6757 W IMPERIAL HWY,LOS ANGELES,CA,90045,93,A
VIEN CAFE,6118 W PICO BLVD,LOS ANGELES,CA,90035,92,A
HVM MARKET,801 W VERNON AVE,LOS ANGELES,CA,90037,94,A
SQIRL,720 N VIRGIL AVE # 04,LOS ANGELES,CA,90029,97,A
SUBWAY #1740,7040 W SUNSET BLVD STE #C,LOS ANGELES,CA,90028,97,A
FOOD 4 LESS #359,1748 W JEFFERSON BLVD,LOS ANGELES,CA,90018,95,A
CBTL,100 WORLD WAY # 123,LOS ANGELES,CA,90045,92,A
TAQUERIA  EL SARAPE,2522 1/2 E 1ST ST,LOS ANGELES,CA,90033,93,A
EL CENTRO MEATS,750 S KERN AVE # A,LOS ANGELES,CA,90022,94,A
L' EXPRESS  PRESTO,110 E 9TH ST ST B LOB#2,LOS ANGELES,CA,90079,96,A
ROSALIND WEST AFRICAN CUISINE,1044 S FAIRFAX AVE,LOS ANGELES,CA,90019,97,A
BRAVO PIZZA AND SUB,5142 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,93,A
EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,95,A
ROYAL DONUTS & CROISSANT,11138 PALMS BLVD,LOS ANGELES,CA,90034,98,A
TORN BASIL,100 WORLD WAY,LOS ANGELES,CA,90045,93,A
DREAM KABOB HOUSE,229 E 9TH ST,LOS ANGELES,CA,90015,92,A
CIABATTA BAR HOLLYWOOD LLC,6464 W SUNSET BLVD #100,LOS ANGELES,CA,90028,93,A
EXPOSITION FISH AND POULTRY,3759 S WESTERN AVE,LOS ANGELES,CA,90018,97,A
JONS MARKET#1,3667 W 3RD ST,LOS ANGELES,CA,90020,96,A
JASON'S WINE AND SPIRITS,110 E 9TH ST # A2,LOS ANGELES,CA,90079,99,A
COFFEE COMMISSARY,6087 W SUNSET BLVD,LOS ANGELES,CA,90028,95,A
DENNY'S #1144,5751 W SUNSET BLVD,LOS ANGELES,CA,90028,91,A
FLYING FOOD GROUP,5807 W 98TH ST,LOS ANGELES,CA,90045,97,A
YOSHINOYA,2215 S VERMONT AVE # 106,LOS ANGELES,CA,90007,99,A
WABA GRILL,1134 N VERMONT AVE,LOS ANGELES,CA,90029,93,A
BANGLA APNA BAZZAR,261 S KENMORE ST,LOS ANGELES,CA,90004,92,A
CHILE VERDE,6913 LA TIJERA BLVD,LOS ANGELES,CA,90045,93,A
KFC TACO BELL E791001,5220 W CENTINELA AVE,LOS ANGELES,CA,90045,94,A
IXLB DIM SUM EATS,5900 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
RAHEL VEGAN CUISINE,1047 S FAIRFAX AVE,LOS ANGELES,CA,90019,100,A
TAM'S BURGER #24,6620 S CENTRAL AVE,LOS ANGELES,CA,90001,98,A
PINKBERRY #78,100 WORLD WAY,LOS ANGELES,CA,90045,98,A
ELM TREE SANDWICH SHOP,5900 S EASTERN AVE STE #182,LOS ANGELES,CA,90040,91,A
SUBWAY,701 W CESAR E CHAVEZ AVE,LOS ANGELES,CA,90012,96,A
WESTCHESTER SENIOR CITIZEN C,8740 LINCOLN BLVD,LOS ANGELES,CA,90045,100,A
BURGER KING 11299,700 W CESAR E CHAVEZ AVE,LOS ANGELES,CA,90012,97,A
LENZINI'S PIZZA,12740 CULVER BLVD # B,LOS ANGELES,CA,90066,96,A
JERSEY MIKE'S SUBS # 20024B,1020 GLENDON AVE,LOS ANGELES,CA,90024,92,A
MCDONALD'S #10070 (CRENSHAW),4292 S CRENSHAW BLVD,LOS ANGELES,CA,90008,98,A
KING'S DONUTS,4417 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,92,A
C W & CHRIS FISH & SHRIMP,6512 S WESTERN AVE,LOS ANGELES,CA,90047,94,A
JACK IN THE BOX # 326,4470 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,94,A
SHERATON HOTEL,6101 W CENTURY BLVD,LOS ANGELES,CA,90045,95,A
JACK IN THE BOX # 292,4210 S CRENSHAW BLVD,LOS ANGELES,CA,90008,97,A
LA GUERA COMIDA MEXICANA,144 VENICE BLVD,LOS ANGELES,CA,90015,93,A
MOD PIZZA- VENICE CROSSROADS,8985 VENICE BLVD,LOS ANGELES,CA,90034,93,A
YOGURTLAND LADERA HEIGHTS,5375 W CENTINELA AVE # B,LOS ANGELES,CA,90045,96,A
MCDONALD'S #2368,5223 W CENTURY BLVD,LOS ANGELES,CA,90045,95,A
IPIC THEATER,10840 WILSHIRE BLVD,LOS ANGELES,CA,90024,96,A
WHOLE FOODS MARKET,12746 W JEFFERSON BLVD,LOS ANGELES,CA,90066,94,A
SUBWAY #1972,1165 WESTWOOD BLVD,LOS ANGELES,CA,90024,97,A
SUGARFISH,101 S LA BREA AVE #100A,LOS ANGELES,CA,90036,97,A
YOGURTLAND,10911 LINDBROOK DR,LOS ANGELES,CA,90024,97,A
SHERATON HOTEL,6101 W CENTURY BLVD,LOS ANGELES,CA,90045,94,A
JIMMY JOHN'S,1134 WESTWOOD BLVD,LOS ANGELES,CA,90024,96,A
IN-N-OUT BURGER #55,9245 VENICE BLVD,LOS ANGELES,CA,90034,95,A
SHERATON HOTEL,6101 W CENTURY BLVD,LOS ANGELES,CA,90045,95,A
IKE'S PLACE,1151 WESTWOOD BLVD,LOS ANGELES,CA,90024,94,A
PATIO BURGERS AND BEER,4541 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,94,A
LITTLE CAESARS #5745,4401 EAGLE ROCK BLVD,LOS ANGELES,CA,90041,93,A
MAIN SNACK SHOP,1600 W SLAUSON AVE # #H-27,LOS ANGELES,CA,90047,91,A
TROY'S #1 BURGERS,4260 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90063,93,A
TONO'S TACOS,4300 E CESAR CHAVEZ AVE,LOS ANGELES,CA,90063,94,A
EL PAISA MARKET,3901 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90063,90,A
ALTA CALIFORNIA FONDA,5303 W PICO BLVD,LOS ANGELES,CA,90019,91,A
VIET,3133 GLENDALE BLVD,LOS ANGELES,CA,90039,93,A
DEL TACO #1105,4376 W SUNSET BLVD,LOS ANGELES,CA,90029,95,A
435 NORTH FAIRFAX,435 N FAIRFAX AVE,LOS ANGELES,CA,90036,90,A
CALIFORNIA STEAK & FRIES,11810 WILMINGTON AVE,LOS ANGELES,CA,90059,94,A
KRISPY KRUNCHY CHICKEN,4448 W SLAUSON AVE,LOS ANGELES,CA,90043,96,A
PINKBERRY,2829 HYPERION AVE,LOS ANGELES,CA,90027,93,A
LA MARKET,246 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90011,94,A
LOS LAGOS,4310 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90022,96,A
I-PIZZA TUMBY'S,3329 HYDE PARK BLVD,LOS ANGELES,CA,90043,90,A
JUGOS AND LICUADOS EL CHAPUL,3078 W PICO BLVD,LOS ANGELES,CA,90006,94,A
WINCHELL'S DONUTS #9384,2501 S SAN PEDRO ST,LOS ANGELES,CA,90011,96,A
EL NUEVO SAN SALVADOR #1,5230 SANTA MONICA BLVD,LOS ANGELES,CA,90029,93,A
JACK IN THE BOX #3378,516 N BEAUDRY AVE,LOS ANGELES,CA,90012,95,A
FAMILY FARM MARKET,4322 S CENTRAL AVE,LOS ANGELES,CA,90011,93,A
JETRO CASH AND CARRY,5333 W JEFFERSON BLVD,LOS ANGELES,CA,90008,95,A
G-GLE,1939 S SAN PEDRO ST # A,LOS ANGELES,CA,90011,97,A
SALSITA PICANTE,3026 E JEFFERSON AVE,LOS ANGELES,CA,90018,97,A
G AND J MARKET,2045 W MLK BLVD,LOS ANGELES,CA,90062,94,A
VILLALOBOS MARKET,5244 SANTA MONICA BLVD,LOS ANGELES,CA,90029,93,A
SUBWAY #22114,711 N MAIN ST,LOS ANGELES,CA,90012,94,A
SAY CHEESE,2800 HYPERION AVE,LOS ANGELES,CA,90027,97,A
ESTAMBRES CRAFTS JUAREZ,3866 E CESAR E CHAVEZ BLVD,LOS ANGELES,CA,90063,95,A
MEXICALI MEAT MARKET,2623 S SAN PEDRO ST,LOS ANGELES,CA,90011,96,A
PICO CAFE,8944 W PICO BLVD,LOS ANGELES,CA,90035,94,A
ARMENIA RESTAURANT,2529 S SAN PEDRO ST #B,LOS ANGELES,CA,90011,96,A
NAM HOA FISH MARKET,711 1/4 NEW HIGH ST,LOS ANGELES,CA,90012,96,A
JACK IN THE BOX #229,2220 W SLAUSON AVE,LOS ANGELES,CA,90043,95,A
EL SERRANO MEXICAN GRILL,3818 E CESAR CHAVEZ AVE,LOS ANGELES,CA,90063,93,A
BURGER KING # 4946,2511 S SAN PEDRO ST,LOS ANGELES,CA,90011,97,A
PAPA JOHNS PIZZA,13350 WASHINGTON BLVD,LOS ANGELES,CA,90066,96,A
PINCHER'S LIQUOR,5121 W PICO BLVD,LOS ANGELES,CA,90019,95,A
SAY CHEESE CAFE,2800 HYPERION AVE,LOS ANGELES,CA,90027,94,A
PAZZO GELATERIA,3827 W SUNSET BLVD STE D,LOS ANGELES,CA,90026,96,A
LA DONUTS,1514 S VERMONT AVE STE A,LOS ANGELES,CA,90006,90,A
KING LOUISIANA SEAFOOD,1541 W MLK BLVD,LOS ANGELES,CA,90062,95,A
MASTER BURGER,3420 W SLAUSON AVE STE A,LOS ANGELES,CA,90043,90,A
STARBUCKS #24851,2720 N GRIFFITH PARK BLVD,LOS ANGELES,CA,90027,98,A
TACO BELL #4634,4050 MARLTON AVE,LOS ANGELES,CA,90008,96,A
CHINA GATE,11814 S WILMINGTON AVE,LOS ANGELES,CA,90059,94,A
AL'S LIQUOR,10751 S FIGUEROA ST,LOS ANGELES,CA,90061,97,A
SUBWAY #13478,3939 S CRENSHAW BLVD,LOS ANGELES,CA,90008,96,A
LYRIC CAFE,2106 HYPERION AVE,LOS ANGELES,CA,90027,95,A
NATIONAL BAKING CO,2661 W PICO BLVD,LOS ANGELES,CA,90006,90,A
IRENE'S LIQUOR,8825 S FIGUEROA ST,LOS ANGELES,CA,90003,98,A
MARISCOS EL RINCON DE NAYARIT,1501 W VERNON AVE,LOS ANGELES,CA,90062,98,A
CHINA TOWN EXPRESS CO,2531 S SAN PEDRO ST,LOS ANGELES,CA,90011,91,A
KC'S CAFE,8320 LINCOLN BLVD STE 101B,LOS ANGELES,CA,90045,94,A
PANADERIA LOS REYES #2,4230 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90063,98,A
EL GRULLENSE,1965 S SAN PEDRO ST,LOS ANGELES,CA,90011,96,A
KING TACO #106,1951 S SAN PEDRO ST,LOS ANGELES,CA,90011,97,A
CENTURY LIQUOR & MARKET,5431 W PICO BLVD,LOS ANGELES,CA,90019,93,A
PLACITA CAFE,711 N MAIN ST STE #105,LOS ANGELES,CA,90012,93,A
MCDONALD'S #5806,4348 W SUNSET BLVD,LOS ANGELES,CA,90029,94,A
BROTHERS BBQ,7725 CRENSHAW BLVD,LOS ANGELES,CA,90043,92,A
WESTSIDE DONUTS & CROISSANTS,11277 SANTA MONICA BLVD,LOS ANGELES,CA,90025,87,B
MESHUGA 4 SUSHI 2,8948 W PICO BLVD,LOS ANGELES,CA,90035,93,A
FRED DOWN HOME BURGER,2524 W SLAUSON AVE,LOS ANGELES,CA,90043,96,A
TACOS EL CONQUISTADOR,3330 S CENTRAL AVE,LOS ANGELES,CA,90011,96,A
EL PUEBLO PRODUCE MARKET,4706 S WESTERN AVE,LOS ANGELES,CA,90062,94,A
TAQUERIA LA CARRETA,1471 E VERNON AVE,LOS ANGELES,CA,90011,95,A
GIL'S GROCERY MARKET,10815 S FIGUEROA ST,LOS ANGELES,CA,90061,94,A
FOUR SEASONS SNACK BAR,2736 W PICO BLVD,LOS ANGELES,CA,90006,92,A
MAYRA'S BAKERY,2521 S SAN PEDRO ST # #E,LOS ANGELES,CA,90011,91,A
DUNE LOS ANGELES,3143 GLENDALE BLVD,LOS ANGELES,CA,90039,93,A
THE ORIGINAL BILL'S TACO HSE,219 E MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90011,94,A
TEXACO VERDUGO DAIRY,4072 VERDUGO RD,LOS ANGELES,CA,90065,91,A
JOCELYN'S MARKET,527 S GRANDE VISTA AVE,LOS ANGELES,CA,90063,97,A
CROWNE PLAZA LAX LANDING,5985 W CENTURY BLVD,LOS ANGELES,CA,90045,87,B
DIANE MARKET,801 N MARIANNA AVE,LOS ANGELES,CA,90063,94,A
HALFWAY HOUSE,10460 W PICO BLVD,LOS ANGELES,CA,90064,93,A
MEN OH,456 E 2ND ST,LOS ANGELES,CA,90012,90,A
TIERRA MIA COFFEE COMPANY,1202 N ALVARADO ST #A,LOS ANGELES,CA,90026,90,A
YOSHINOYA #1238,1900 S SAN PEDRO ST,LOS ANGELES,CA,90011,97,A
SPARTINA,7505 MELROSE AVE,LOS ANGELES,CA,90046,91,A
