Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
J & F ICE CREAM SHOP,1703 MARIACHI PLZ,LOS ANGELES,CA,90033,95,A
DONUT FACTORY,2225 N SAN FERNANDO RD,LOS ANGELES,CA,90065,92,A
JOHNNIE'S NEW YORK PIZZA,505 S FLOWER ST # B300F,LOS ANGELES,CA,90070,92,A
RALPHS MARKET #39,260 S LA BREA AVE,LOS ANGELES,CA,90036,100,A
EAGLE ROCK BREWERY,3056 ROSWELL ST,LOS ANGELES,CA,90065,96,A
DONUT STAR,4102 VERDUGO RD,LOS ANGELES,CA,90065,93,A
TACOS TUMBRAS,4267 S AVALON BLVD,LOS ANGELES,CA,90011,94,A
ROSE GARDEN CAFE,5930 FRANKLIN AVE,LOS ANGELES,CA,90028,95,A
MRS FIELD'S COOKI #426,505 S FLOWER ST,LOS ANGELES,CA,90071,93,A
NORTHGATE MARKET #41,4700 INGLEWOOD BLVD,LOS ANGELES,CA,90230,97,A
SHIN KANG SEO MYUN OAK,3250 W OLYMPIC BLVD #313,LOS ANGELES,CA,90006,95,A
MCDONALD'S #2084,3124 N SAN FERNANDO RD,LOS ANGELES,CA,90065,96,A
HABAYIT RESTAURANT,11921 W PICO BLVD,LOS ANGELES,CA,90064,97,A
PLANCHA TACOS,2024 PACIFIC AVE,LOS ANGELES,CA,90291,91,A
BLD,700 WORLD WAY # 7C,LOS ANGELES,CA,90045,83,B
NOODLE PLUS,3250 W OLYMPIC BLVD STE 309,LOS ANGELES,CA,90006,98,A
RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,99,A
VNS CHICKEN,3250 W OLYMPIC BLVD STE 105,LOS ANGELES,CA,90006,95,A
CELESTE,535 S GRAND AVE,LOS ANGELES,CA,90017,97,A
800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,LOS ANGELES,CA,90028,95,A
CHOCOLATE BAR,1635 N VINE ST,LOS ANGELES,CA,90028,93,A
KETTLE GLAZED DONUTS,6211 FRANKLIN AVE,LOS ANGELES,CA,90068,96,A
PHILIPPE,1001 N ALAMEDA ST,LOS ANGELES,CA,90012,95,A
LOCALI,5825 FRANKLIN AVE,LOS ANGELES,CA,90028,96,A
INDIA SPICES & GROCERY,5994 W PICO BLVD,LOS ANGELES,CA,90035,90,A
MS DONUTS,1353 GLENDALE BLVD,LOS ANGELES,CA,90026,94,A
SUBWAY #39685,704 W 1ST ST,LOS ANGELES,CA,90012,91,A
LEMONADE RESTAURANT,505 S FLOWER ST # B-15,LOS ANGELES,CA,90071,92,A
KOREAN AIR/ SKYTEAM LOUNGE,380 WORLD WAY S4,LOS ANGELES,CA,90045,91,A
TEDDY'S CAFE,12043 W PICO BLVD,LOS ANGELES,CA,90064,98,A
LA SIRENA RESTAURANT,4226 E OLYMPIC BLVD,LOS ANGELES,CA,90023,92,A
JACK IN THE BOX # 335,2521 PASADENA AVE,LOS ANGELES,CA,90031,96,A
FOOD PICNIC DAY,3250 W OLYMPIC BLVD STE 311,LOS ANGELES,CA,90006,95,A
BOLT,5648 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,98,A
AM & PM MINIMARKET,2466 RIVERSIDE DR,LOS ANGELES,CA,90039,96,A
JIN RESTAURANT,3250 W OLYMPIC BLVD STE 310,LOS ANGELES,CA,90006,94,A
RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,99,A
SHELL MINI MART,8500 W PICO BLVD,LOS ANGELES,CA,90035,97,A
K-BAKERY,1258 W TEMPLE ST,LOS ANGELES,CA,90026,90,A
CANTINA LOREDO,380 WORLD WAY # T81,LOS ANGELES,CA,90045,91,A
TIN FOIL: LIQUOR AND GROCERY,5900 N FIGUEROA ST,LOS ANGELES,CA,90042,97,A
QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,LOS ANGELES,CA,90041,86,B
LOS BALCONES DEL PERU,1360 N VINE ST,LOS ANGELES,CA,90028,93,A
TACOMIENDO,11462 GATEWAY BLVD,LOS ANGELES,CA,90034,90,A
SAWTELLE-76,11305 SANTA MONICA BLVD,LOS ANGELES,CA,90025,98,A
QANTAS AIRWAYS LOUNGE,380 WORLD WAY 5TH FLR,LOS ANGELES,CA,90041,92,A
THE SEMI-TROPIC,1412 N GLENDALE BLVD,LOS ANGELES,CA,90026,96,A
CIRCLE K,3360 E OLYMPIC BLVD,LOS ANGELES,CA,90023,93,A
SLAPFISH,200 WORLD WAY # 225,LOS ANGELES,CA,90045,90,A
CELAYA BAKERY,1630 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A
LOS PINITOS NUEVOS BAKERY,1154 S LORENA ST,LOS ANGELES,CA,90023,96,A
JAPAN HOUSE LA 2ND FLOOR,6801 HOLLYWOOD BLVD #213 -221,LOS ANGELES,CA,90028,98,A
SHAKE SHACK,6201 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,98,A
JOHNNY ROCKETS,6801 HOLLYWOOD BLVD STE 325,LOS ANGELES,CA,90028,98,A
CIVIL COFFEE,5629 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
MCDONALD'S # 10129,245 N SOTO ST,LOS ANGELES,CA,90033,97,A
TRAVEL TRADERS,404 S FIGUEROA ST STE #104,LOS ANGELES,CA,90071,99,A
BARNEY'S BEANERY,200 WORLD WAY # 240,LOS ANGELES,CA,90045,81,B
GREENLEAF CHOP SHOP,6201 HOLLYWOOD BLVD # 120,LOS ANGELES,CA,90028,92,A
ZANKOU CHICKEN,7851 W SUNSET BLVD,LOS ANGELES,CA,90046,95,A
ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,92,A
LA PRINCESITA MEAT MARKET,2514 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,94,A
JERSEY MIKE'S SUBS,6361 WILSHIRE BLVD,LOS ANGELES,CA,90048,90,A
JINYA RAMEN EXPRESS,6801 HOLLYWOOD BLVD # 315,LOS ANGELES,CA,90028,94,A
JIM'S BURGERS,915 S SOTO ST,LOS ANGELES,CA,90023,90,A
CVS/PHARMACY #10614,800 S GRAND AVE,LOS ANGELES,CA,90017,92,A
ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,90,A
AA REGIONAL ADMIRAL'S CLUB,6022 AVION DR,LOS ANGELES,CA,90045,94,A
PASEO SAN MIGUEL RESTAURANT,3723 S WESTERN AVE,LOS ANGELES,CA,90018,98,A
ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,91,A
ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,99,A
L.A.A.C.-8TH FLOOR SNACK BAR,431 W 7TH ST,LOS ANGELES,CA,90014,98,A
DER WIENERSCHNITZEL #20,5215 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
STREET LEVEL CAFE,1166 GLENDALE BLVD,LOS ANGELES,CA,90026,93,A
FARSI CAFE,1916 WESTWOOD BLVD,LOS ANGELES,CA,90025,92,A
CAFE SOLAR,6224 W MANCHESTER AVE LOS,LOS ANGELES,CA,90045,97,A
DELICIAS BAKERY AND SOME,5567 N FIGUEROA ST,LOS ANGELES,CA,90042,93,A
CHEVRON FOOD MART #1818,10984 LE CONTE AVE,LOS ANGELES,CA,90024,94,A
TUTTI FRUTTI,312 E 11TH ST,LOS ANGELES,CA,90015,96,A
MELODY PIZZA,9146 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,90,A
SUBWAY #14183,508 W 7TH ST,LOS ANGELES,CA,90014,94,A
JACK IN THE BOX # 3348,1710 GLENDALE BLVD,LOS ANGELES,CA,90026,96,A
AFTERS ICE CREAM,5711 N FIGUEROA ST,LOS ANGELES,CA,90042,99,A
ANTIGUA CULTURAL COFFEE,3400 N FIGUEROA ST,LOS ANGELES,CA,90041,98,A
TRASTEVERE RESTAURANT,6801 HOLLYWOOD BLVD STE 423,LOS ANGELES,CA,90028,93,A
KELLY'S COFFEE & FUDGE,231 E 12TH ST,LOS ANGELES,CA,90015,98,A
CVS/PHARMACY #9576,10889 WELLWORTH AVE,LOS ANGELES,CA,90024,97,A
MARIE'S COFFEE AND DELI,731 W 7TH ST,LOS ANGELES,CA,90017,91,A
LOS ALCANTRACES,3773 S WESTERN AVE,LOS ANGELES,CA,90018,95,A
LA BARBACHA,2510 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,90,A
THE HARVEST BAR 2,8601 LINCOLN BLVD STE 190,LOS ANGELES,CA,90045,94,A
KABAN PERSIAN RESTAURANT,3250 CAHUENGA BLVD W,LOS ANGELES,CA,90068,92,A
WALGREENS #6445,8770 W PICO BLVD,LOS ANGELES,CA,90035,95,A
WESTIN LAKEVIEW BISTRO,404 S FIGUEROA ST LBBY LOBBY,LOS ANGELES,CA,90071,94,A
PASEO SAN MIGUEL RESTAURANT,3874 S WESTERN AVE,LOS ANGELES,CA,90062,95,A
ADMIRALS CLUB,500 WORLD WAY,LOS ANGELES,CA,90045,91,A
PASEO SAN MIGUEL,1560 W MARTIN LUTHER KING JR. BLVD,LOS ANGELES,CA,90062,95,A
ROSS # 1451,1360 WESTWOOD BLVD,LOS ANGELES,CA,90024,98,A
TUSCAN SON,10700 SANTA MONICA BLVD # 150,LOS ANGELES,CA,90025,97,A
THE FAT DOG,801 N FAIRFAX AVE STE #107,LOS ANGELES,CA,90046,91,A
SANTA MONICA SHELL,11574 SANTA MONICA BLVD,LOS ANGELES,CA,90025,95,A
ANGELINI ALIMENTARI,7317 BEVERLY BLVD,LOS ANGELES,CA,90036,94,A
CAMPUS PHARMACY,100 UCLA MEDICAL PLZ # 150,LOS ANGELES,CA,90024,97,A
PROOF SUNDRY,2388 GLENDALE BLVD # A,LOS ANGELES,CA,90039,95,A
CAPE SEAFOOD & PROVISIONS,801 N FAIRFAX AVE,LOS ANGELES,CA,90046,90,A
JIMMY JOHN'S,600 W 7TH ST # 160,LOS ANGELES,CA,90017,98,A
ORIGIN CAFE,8532 PICO BLVD,LOS ANGELES,CA,90035,98,A
CAFE SOLAR KITCHEN,6228 3/4 W MANCHESTER AVE,LOS ANGELES,CA,90045,90,A
CORAL FISH,6357 WILSHIRE BLVD,LOS ANGELES,CA,90048,92,A
PORTERHOUSE FRIED CHICKEN,2205 VERNON AVE,LOS ANGELES,CA,90008,97,A
CENTRO MERCADO LATINO,4339 DALTON AVE,LOS ANGELES,CA,90062,97,A
MARISCOS EL RINCON DE NAYARIT,1501 W VERNON AVE,LOS ANGELES,CA,90062,94,A
YANUSA SUSHI RESTAURANT,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,93,A
JOLLIBEE,2700 COLORADO BLVD STE 105,LOS ANGELES,CA,90041,95,A
MALIBU FISH GRILL,8000 W SUNSET BLVD # A120,LOS ANGELES,CA,90046,95,A
OPERA HOUSE BAKERY,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,99,A
POPEYES CHICKEN,3995 S WESTERN AVE,LOS ANGELES,CA,90062,97,A
KRISPY KREME DOUGHNUTS,4034 S CRENSHAW BLVD,LOS ANGELES,CA,90008,98,A
THE VEGGIE GRILL,8000 W SUNSET BLVD # 112,LOS ANGELES,CA,90046,93,A
ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,LOS ANGELES,CA,90045,94,A
NAAB CAFE,1269 WESTWOOD BLVD,LOS ANGELES,CA,90024,90,A
CARL'S JR,308 WESTWOOD PLZ 505,LOS ANGELES,CA,90024,96,A
ASHLAND BAR EARTH BAR / PANDA EXPRESS ASHLAND HILL,300 WORLD WAY # 329,LOS ANGELES,CA,90045,90,A
PIZZA HUT #26158,4356 LEIMERT BLVD,LOS ANGELES,CA,90008,98,A
MAHARAJA,1321 WESTWOOD BLVD,LOS ANGELES,CA,90024,91,A
KIKKA SUSHI,308 WESTWOOD PLZ # A233B,LOS ANGELES,CA,90024,98,A
THE PARLOR,300 WORLD WAY # 342,LOS ANGELES,CA,90045,98,A
GAAM,3465 W 6TH ST STE 300,LOS ANGELES,CA,90020,91,A
EL CONDOR,3701 W SUNSET BLVD,LOS ANGELES,CA,90026,91,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,98,A
MILLI'S CAFE,3528 W SUNSET BLVD,LOS ANGELES,CA,90026,96,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,99,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,98,A
BEUL,3819 W 6TH ST,LOS ANGELES,CA,90020,91,A
HANNAM CHAIN SUPERMARKET,2740 W OLYMPIC BLVD,LOS ANGELES,CA,90006,97,A
BORDER GRILL,380 WORLD WAY T38,LOS ANGELES,CA,90045,78,C
CLIFFS,3626 W SUNSET BLVD,LOS ANGELES,CA,90026,94,A
WH POKE BAR INC.,6215 TOPANGA CANYON BLVD,LOS ANGELES,CA,91367,95,A
LA MICHOACANA,2715 S WESTERN AVE # D,LOS ANGELES,CA,90018,94,A
MICROSOFT THEATER,777 W CHICK HEARN CT,LOS ANGELES,CA,90015,96,A
JAM,3981 W 6TH ST,LOS ANGELES,CA,90020,91,A
