,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
101,PR0189095,BASE COAT -JUICE BAR,704 MATEO ST,LOS ANGELES,CA,90021,99,A
102,PR0174372,WAX PAPER,2902 KNOX AVE,LOS ANGELES,CA,90039,97,A
103,PR0046897,STARBUCKS COFFEE #5567,1898 WESTWOOD BLVD,LOS ANGELES,CA,90025,96,A
104,PR0033856,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,95,A
105,PR0021513,KIKKA @ ARCO PLAZA,505 S FLOWER ST # B-270,LOS ANGELES,CA,90071,93,A
106,PR0189681,ROLLING STONE SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,80,B
107,PR0008908,J & F ICE CREAM SHOP,1703 MARIACHI PLZ,LOS ANGELES,CA,90033,95,A
108,PR0022711,DONUT FACTORY,2225 N SAN FERNANDO RD,LOS ANGELES,CA,90065,92,A
109,PR0037456,JOHNNIE'S NEW YORK PIZZA,505 S FLOWER ST # B300F,LOS ANGELES,CA,90070,92,A
110,PR0006561,RALPHS MARKET #39,260 S LA BREA AVE,LOS ANGELES,CA,90036,100,A
111,PR0128775,EAGLE ROCK BREWERY,3056 ROSWELL ST,LOS ANGELES,CA,90065,96,A
112,PR0180278,DONUT STAR,4102 VERDUGO RD,LOS ANGELES,CA,90065,93,A
113,PR0019893,TACOS TUMBRAS,4267 S AVALON BLVD,LOS ANGELES,CA,90011,94,A
114,PR0032462,ROSE GARDEN CAFE,5930 FRANKLIN AVE,LOS ANGELES,CA,90028,95,A
115,PR0001697,MRS FIELD'S COOKI #426,505 S FLOWER ST,LOS ANGELES,CA,90071,93,A
116,PR0122500,NORTHGATE MARKET #41,4700 INGLEWOOD BLVD,LOS ANGELES,CA,90230,97,A
117,PR0033045,SHIN KANG SEO MYUN OAK,3250 W OLYMPIC BLVD #313,LOS ANGELES,CA,90006,95,A
118,PR0047258,MCDONALD'S #2084,3124 N SAN FERNANDO RD,LOS ANGELES,CA,90065,96,A
119,PR0027352,HABAYIT RESTAURANT,11921 W PICO BLVD,LOS ANGELES,CA,90064,97,A
120,PR0143226,PLANCHA TACOS,2024 PACIFIC AVE,LOS ANGELES,CA,90291,91,A
121,PR0189414,BLD,700 WORLD WAY # 7C,LOS ANGELES,CA,90045,83,B
122,PR0153574,NOODLE PLUS,3250 W OLYMPIC BLVD STE 309,LOS ANGELES,CA,90006,98,A
123,PR0028277,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,99,A
124,PR0016014,VNS CHICKEN,3250 W OLYMPIC BLVD STE 105,LOS ANGELES,CA,90006,95,A
125,PR0015433,CELESTE,535 S GRAND AVE,LOS ANGELES,CA,90017,97,A
126,PR0177468,800  DEGREES NEAPOLITAN PIZZERIA,1539 N VINE ST,LOS ANGELES,CA,90028,95,A
127,PR0177091,CHOCOLATE BAR,1635 N VINE ST,LOS ANGELES,CA,90028,93,A
128,PR0121293,KETTLE GLAZED DONUTS,6211 FRANKLIN AVE,LOS ANGELES,CA,90068,96,A
129,PR0034643,PHILIPPE,1001 N ALAMEDA ST,LOS ANGELES,CA,90012,95,A
130,PR0045614,LOCALI,5825 FRANKLIN AVE,LOS ANGELES,CA,90028,96,A
131,PR0039656,INDIA SPICES & GROCERY,5994 W PICO BLVD,LOS ANGELES,CA,90035,90,A
132,PR0181173,MS DONUTS,1353 GLENDALE BLVD,LOS ANGELES,CA,90026,94,A
133,PR0029241,SUBWAY #39685,704 W 1ST ST,LOS ANGELES,CA,90012,91,A
134,PR0046463,LEMONADE RESTAURANT,505 S FLOWER ST # B-15,LOS ANGELES,CA,90071,92,A
135,PR0129717,KOREAN AIR/ SKYTEAM LOUNGE,380 WORLD WAY S4,LOS ANGELES,CA,90045,91,A
136,PR0013758,TEDDY'S CAFE,12043 W PICO BLVD,LOS ANGELES,CA,90064,98,A
137,PR0037215,LA SIRENA RESTAURANT,4226 E OLYMPIC BLVD,LOS ANGELES,CA,90023,92,A
138,PR0024950,JACK IN THE BOX # 335,2521 PASADENA AVE,LOS ANGELES,CA,90031,96,A
139,PR0021748,FOOD PICNIC DAY,3250 W OLYMPIC BLVD STE 311,LOS ANGELES,CA,90006,95,A
140,PR0190755,BOLT,5648 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,98,A
141,PR0021083,AM & PM MINIMARKET,2466 RIVERSIDE DR,LOS ANGELES,CA,90039,96,A
142,PR0027298,JIN RESTAURANT,3250 W OLYMPIC BLVD STE 310,LOS ANGELES,CA,90006,94,A
143,PR0025069,RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,99,A
144,PR0023745,SHELL MINI MART,8500 W PICO BLVD,LOS ANGELES,CA,90035,97,A
145,PR0026336,K-BAKERY,1258 W TEMPLE ST,LOS ANGELES,CA,90026,90,A
146,PR0164163,CANTINA LOREDO,380 WORLD WAY # T81,LOS ANGELES,CA,90045,91,A
147,PR0190716,TIN FOIL: LIQUOR AND GROCERY,5900 N FIGUEROA ST,LOS ANGELES,CA,90042,97,A
